ds_holidays,holiday,ds,country,code,country_official_name,lower_window,upper_window,prior_scale,source
2020-02-24,Día de Carnaval [Carnival's Day],2020-03-02,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-02-25,Día de Carnaval [Carnival's Day],2020-03-03,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-03-24,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],2020-03-31,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-09,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],2020-04-16,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-10,Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],2020-04-17,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-12,Día de Pascuas [Easter Day],2020-04-19,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-02,Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],2020-04-09,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Día del Trabajo [Labour Day],2020-05-08,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-25,Día de la Revolucion de Mayo [May Revolution Day],2020-06-01,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-06-17,Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],2020-06-24,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-06-20,Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],2020-06-27,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-07-09,Día de la Independencia [Independence Day],2020-07-16,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-08-17,Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],2020-08-24,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-10-12,Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],2020-10-19,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-20,Día Nacional de la Soberanía [National Sovereignty Day],2020-11-27,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-08,La Inmaculada Concepción [Immaculate Conception],2020-12-15,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Navidad [Christmas],2021-01-01,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,Año Nuevo [New Year's Day],2021-01-08,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-02-15,Día de Carnaval [Carnival's Day],2021-02-22,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-02-16,Día de Carnaval [Carnival's Day],2021-02-23,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-03-24,Día Nacional de la Memoria por la Verdad y la Justicia [Memory's National Day for the Truth and Justice],2021-03-31,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-01,Semana Santa (Jueves Santo)  [Holy day (Holy Thursday)],2021-04-08,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-02,Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Day and the Fallen in the Malvinas War],2021-04-09,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-02,Semana Santa (Viernes Santo)  [Holy day (Holy Friday)],2021-04-09,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-04,Día de Pascuas [Easter Day],2021-04-11,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Día del Trabajo [Labour Day],2021-05-08,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-25,Día de la Revolucion de Mayo [May Revolution Day],2021-06-01,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-06-17,Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes],2021-06-24,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-06-20,Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano],2021-06-27,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-07-09,Día de la Independencia [Independence Day],2021-07-16,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-08-17,Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin],2021-08-24,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-10-12,Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],2021-10-19,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-20,Día Nacional de la Soberanía [National Sovereignty Day],2021-11-27,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-08,La Inmaculada Concepción [Immaculate Conception],2021-12-15,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Navidad [Christmas],2022-01-01,Argentina,AR,Argentine Republic,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-13,Ostermontag,2020-04-20,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Staatsfeiertag,2020-05-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-21,Christi Himmelfahrt,2020-05-28,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-06-01,Pfingstmontag,2020-06-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-06-11,Fronleichnam,2020-06-18,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-08-15,Mariä Himmelfahrt,2020-08-22,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-10-26,Nationalfeiertag,2020-11-02,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-01,Allerheiligen,2020-11-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-08,Mariä Empfängnis,2020-12-15,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Christtag,2021-01-01,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-26,Stefanitag,2021-01-02,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,Neujahr,2021-01-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-06,Heilige Drei Könige,2021-01-13,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-05,Ostermontag,2021-04-12,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Staatsfeiertag,2021-05-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-13,Christi Himmelfahrt,2021-05-20,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-24,Pfingstmontag,2021-05-31,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-06-03,Fronleichnam,2021-06-10,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-08-15,Mariä Himmelfahrt,2021-08-22,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-10-26,Nationalfeiertag,2021-11-02,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-01,Allerheiligen,2021-11-08,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-08,Mariä Empfängnis,2021-12-15,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Christtag,2022-01-01,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-26,Stefanitag,2022-01-02,Austria,AT,Republic of Austria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-01-26,Australia Day,2020-02-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-01-27,Australia Day (Observed),2020-02-03,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-10,Good Friday,2020-04-17,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-13,Easter Monday,2020-04-20,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-25,Anzac Day,2020-05-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Christmas Day,2021-01-01,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-26,Boxing Day,2021-01-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-28,Boxing Day (Observed),2021-01-04,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,New Year's Day,2021-01-08,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-26,Australia Day,2021-02-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-02,Good Friday,2021-04-09,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-05,Easter Monday,2021-04-12,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-25,Anzac Day,2021-05-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Christmas Day,2022-01-01,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-27,Christmas Day (Observed),2022-01-03,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-26,Boxing Day,2022-01-02,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-28,Boxing Day (Observed),2022-01-04,Australia,AU,Australia,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-02-21,Language Martyrs' Day,2020-02-28,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-03-17,Mujib's birthday,2020-03-24,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-03-26,Independence Day,2020-04-02,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-14,Bengali New Year's Day,2020-04-21,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Labor Day,2020-05-08,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-08-15,National Mourning Day,2020-08-22,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-16,Victory Day,2020-12-23,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-02-21,Language Martyrs' Day,2021-02-28,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-03-17,Mujib's birthday,2021-03-24,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-03-26,Independence Day,2021-04-02,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-14,Bengali New Year's Day,2021-04-21,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Labor Day,2021-05-08,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-08-15,National Mourning Day,2021-08-22,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-16,Victory Day,2021-12-23,Bangladesh,BD,People's Republic of Bangladesh,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-12,Pasen,2020-04-19,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-13,Paasmaandag,2020-04-20,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-21,O.L.H. Hemelvaart,2020-05-28,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-31,Pinksteren,2020-06-07,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-06-01,Pinkstermaandag,2020-06-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Dag van de Arbeid,2020-05-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-07-21,Nationale feestdag,2020-07-28,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-08-15,O.L.V. Hemelvaart,2020-08-22,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-01,Allerheiligen,2020-11-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-11,Wapenstilstand,2020-11-18,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Kerstmis,2021-01-01,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,Nieuwjaarsdag,2021-01-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-04,Pasen,2021-04-11,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-05,Paasmaandag,2021-04-12,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-13,O.L.H. Hemelvaart,2021-05-20,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-23,Pinksteren,2021-05-30,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-24,Pinkstermaandag,2021-05-31,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Dag van de Arbeid,2021-05-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-07-21,Nationale feestdag,2021-07-28,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-08-15,O.L.V. Hemelvaart,2021-08-22,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-01,Allerheiligen,2021-11-08,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-11,Wapenstilstand,2021-11-18,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Kerstmis,2022-01-01,Belgium,BE,Kingdom of Belgium,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-03-03,Ден на Освобождението на България от османско иго,2020-03-10,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Ден на труда и на международната работническа солидарност,2020-05-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-06,Гергьовден,2020-05-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-06,Ден на храбростта и Българската армия,2020-05-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-24,Ден на българската просвета и култура и на славянската писменост,2020-05-31,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-09-06,Ден на Съединението,2020-09-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-09-22,Ден на Независимостта на България,2020-09-29,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-01,Ден на народните будители,2020-11-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-24,Бъдни вечер,2020-12-31,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Рождество Христово,2021-01-01,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-26,Рождество Христово,2021-01-02,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-17,Велики петък,2020-04-24,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-18,Велика събота,2020-04-25,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-19,Великден,2020-04-26,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,Нова година,2021-01-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-03-03,Ден на Освобождението на България от османско иго,2021-03-10,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Велика събота,2021-05-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Ден на труда и на международната работническа солидарност,2021-05-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-06,Гергьовден,2021-05-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-06,Ден на храбростта и Българската армия,2021-05-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-24,Ден на българската просвета и култура и на славянската писменост,2021-05-31,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-09-06,Ден на Съединението,2021-09-13,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-09-22,Ден на Независимостта на България,2021-09-29,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-01,Ден на народните будители,2021-11-08,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-24,Бъдни вечер,2021-12-31,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Рождество Христово,2022-01-01,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-26,Рождество Христово,2022-01-02,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-30,Велики петък,2021-05-07,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-02,Великден,2021-05-09,Bulgaria,BG,Republic of Bulgaria,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-02-05,Unity Day,2020-02-12,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-06,President Ntaryamira Day,2020-04-13,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Labour Day,2020-05-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-21,Ascension Day,2020-05-28,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-07-01,Independence Day,2020-07-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-08-15,Assumption Day,2020-08-22,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-10-13,Prince Louis Rwagasore Day,2020-10-20,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-10-21,President Ndadaye's Day,2020-10-28,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-01,All Saints' Day,2020-11-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-02,All Saints' Day (Observed),2020-11-09,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Christmas Day,2021-01-01,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,New Year's Day,2021-01-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-02-05,Unity Day,2021-02-12,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-06,President Ntaryamira Day,2021-04-13,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Labour Day,2021-05-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-13,Ascension Day,2021-05-20,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-07-01,Independence Day,2021-07-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-08-15,Assumption Day,2021-08-22,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-10-13,Prince Louis Rwagasore Day,2021-10-20,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-10-21,President Ndadaye's Day,2021-10-28,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-01,All Saints' Day,2021-11-08,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Christmas Day,2022-01-01,Burundi,BI,Republic of Burundi,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-21,Tiradentes,2020-04-28,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Worker's Day,2020-05-08,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-09-07,Independence Day,2020-09-14,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-10-12,Our Lady of the Apparition,2020-10-19,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-02,All Souls' Day,2020-11-09,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-15,Republic Proclamation Day,2020-11-22,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Christmas,2021-01-01,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,New Year's Day,2021-01-08,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-04-21,Tiradentes,2021-04-28,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Worker's Day,2021-05-08,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-09-07,Independence Day,2021-09-14,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-10-12,Our Lady of the Apparition,2021-10-19,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-02,All Souls' Day,2021-11-09,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-15,Republic Proclamation Day,2021-11-22,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Christmas,2022-01-01,Brazil,BR,Federative Republic of Brazil,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-03-08,International Women's Day,2020-03-15,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-28,Commemoration Day,2020-05-05,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-01,Spring and Labour Day,2020-05-08,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-09,Victory Day,2020-05-16,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-07-03,Independence Day,2020-07-10,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-11-07,October Revolution Day,2020-11-14,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-12-25,Christmas Day,2021-01-01,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-01,New Year's Day,2021-01-08,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-01-07,Orthodox Christmas Day,2021-01-14,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-03-08,International Women's Day,2021-03-15,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-11,Commemoration Day,2021-05-18,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-01,Spring and Labour Day,2021-05-08,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-05-09,Victory Day,2021-05-16,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-07-03,Independence Day,2021-07-10,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-11-07,October Revolution Day,2021-11-14,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2021-12-25,Christmas Day,2022-01-01,Belarus,BY,Republic of Belarus,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-04-10,Good Friday,2020-04-17,Canada,CA,Canada,-3,3,10,https://github.com/dr-prodigy/python-holidays
2020-05-18,Victoria Day,2020-05-25,Canada,CA,Canada,-3,3,10,https://github.com/dr-prodigy/python-holidays
