,Unnamed: 0,customerid,event_timestamp,exited
0,0,15634602,2016-02-08 00:37:08+00:00,1
1,1,15647311,2016-02-08 05:56:20+00:00,0
2,2,15619304,2016-02-08 06:15:39+00:00,1
3,3,15701354,2016-02-08 06:15:39+00:00,0
4,4,15737888,2016-02-08 06:51:45+00:00,0
5,5,15574012,2016-02-08 07:53:43+00:00,1
6,6,15592531,2016-02-08 08:16:57+00:00,0
7,7,15656148,2016-02-08 08:16:57+00:00,1
8,8,15792365,2016-02-08 08:15:41+00:00,0
9,9,15592389,2016-02-08 11:51:46+00:00,0
10,10,15767821,2016-02-08 14:19:57+00:00,0
11,11,15737173,2016-02-08 15:16:43+00:00,0
12,12,15632264,2016-02-08 15:43:50+00:00,0
13,13,15691483,2016-02-08 16:50:57+00:00,0
14,14,15600882,2016-02-08 17:27:39+00:00,0
15,15,15643966,2016-02-08 17:30:18+00:00,0
16,16,15737452,2016-02-08 18:11:11+00:00,1
17,17,15788218,2016-02-08 18:11:11+00:00,0
18,18,15661507,2016-02-08 19:47:42+00:00,0
19,19,15568982,2016-02-08 19:47:42+00:00,0
20,20,15577657,2016-02-08 20:13:22+00:00,0
21,21,15597945,2016-02-08 21:00:17+00:00,0
22,22,15699309,2016-02-08 21:10:10+00:00,1
23,23,15725737,2016-02-08 21:30:31+00:00,0
24,24,15625047,2016-02-09 05:54:01+00:00,0
25,25,15738191,2016-02-09 06:10:59+00:00,0
26,26,15736816,2016-02-09 06:46:32+00:00,0
27,27,15700772,2016-02-09 07:18:10+00:00,0
28,28,15728693,2016-02-09 07:28:15+00:00,0
29,29,15656300,2016-02-09 07:25:40+00:00,0
30,30,15589475,2016-02-09 07:44:49+00:00,1
31,31,15706552,2016-02-09 07:48:40+00:00,0
32,32,15750181,2016-02-09 07:48:40+00:00,0
33,33,15659428,2016-02-09 08:00:16+00:00,0
34,34,15732963,2016-02-09 08:02:55+00:00,0
35,35,15794171,2016-02-09 08:18:58+00:00,1
36,36,15788448,2016-02-09 09:07:19+00:00,0
37,37,15729599,2016-02-09 10:07:49+00:00,0
38,38,15717426,2016-02-09 11:09:49+00:00,0
39,39,15585768,2016-02-09 11:28:49+00:00,0
40,40,15619360,2016-02-09 12:31:08+00:00,0
41,41,15738148,2016-02-09 15:33:59+00:00,1
42,42,15687946,2016-02-09 17:12:40+00:00,0
43,43,15755196,2016-02-09 17:13:58+00:00,1
44,44,15684171,2016-02-09 18:20:58+00:00,0
45,45,15754849,2016-02-09 18:20:58+00:00,0
46,46,15602280,2016-02-09 22:37:48+00:00,1
47,47,15771573,2016-02-09 22:37:48+00:00,1
48,48,15766205,2016-02-10 06:17:32+00:00,0
49,49,15771873,2016-02-10 06:18:49+00:00,0
50,50,15616550,2016-02-10 06:29:48+00:00,0
51,51,15768193,2016-02-10 08:19:15+00:00,0
52,52,15683553,2016-02-10 08:35:27+00:00,0
53,53,15702298,2016-02-10 08:44:31+00:00,1
54,54,15569590,2016-02-10 08:39:16+00:00,1
55,55,15760861,2016-02-10 08:39:16+00:00,0
56,56,15630053,2016-02-10 08:48:06+00:00,0
57,57,15647091,2016-02-10 09:06:09+00:00,0
58,58,15623944,2016-02-10 09:06:09+00:00,1
59,59,15804771,2016-02-10 09:08:29+00:00,0
60,60,15651280,2016-02-10 09:08:29+00:00,0
61,61,15773469,2016-02-10 09:18:13+00:00,0
62,62,15702014,2016-02-10 09:34:38+00:00,0
63,63,15751208,2016-02-10 10:18:13+00:00,0
