id,event_timestamp,bad_loan
11454641,2016-02-08 00:37:08+00:00,0
9604874,2016-02-08 05:56:20+00:00,0
9684700,2016-02-08 06:15:39+00:00,1
9695736,2016-02-08 06:15:39+00:00,1
9795013,2016-02-08 06:51:45+00:00,0
9856168,2016-02-08 07:53:43+00:00,1
9825536,2016-02-08 08:16:57+00:00,1
7450630,2016-02-08 08:16:57+00:00,0
9767996,2016-02-08 08:15:41+00:00,0
9858164,2016-02-08 11:51:46+00:00,0
9828271,2016-02-08 14:19:57+00:00,0
9934676,2016-02-08 15:16:43+00:00,1
9001565,2016-02-08 15:43:50+00:00,0
9808485,2016-02-08 16:50:57+00:00,1
10064734,2016-02-08 17:27:39+00:00,0
10104967,2016-02-08 17:30:18+00:00,0
9924735,2016-02-08 18:11:11+00:00,0
10105115,2016-02-08 18:11:11+00:00,1
10105178,2016-02-08 19:47:42+00:00,0
10075202,2016-02-08 19:47:42+00:00,0
9654640,2016-02-08 20:13:22+00:00,1
10175470,2016-02-08 21:00:17+00:00,0
8944858,2016-02-08 21:10:10+00:00,0
10214568,2016-02-08 21:30:31+00:00,0
10075541,2016-02-09 05:54:01+00:00,1
10075730,2016-02-09 06:10:59+00:00,0
10115896,2016-02-09 06:46:32+00:00,0
10086141,2016-02-09 07:18:10+00:00,1
10106041,2016-02-09 07:28:15+00:00,0
10166062,2016-02-09 07:25:40+00:00,0
10086164,2016-02-09 07:44:49+00:00,0
10126218,2016-02-09 07:48:40+00:00,0
10166166,2016-02-09 07:48:40+00:00,0
9645048,2016-02-09 08:00:16+00:00,0
10115641,2016-02-09 08:02:55+00:00,1
10096681,2016-02-09 08:18:58+00:00,0
10126703,2016-02-09 09:07:19+00:00,0
10156788,2016-02-09 10:07:49+00:00,1
10176783,2016-02-09 11:09:49+00:00,0
10076700,2016-02-09 11:28:49+00:00,0
10156609,2016-02-09 12:31:08+00:00,0
10086931,2016-02-09 15:33:59+00:00,1
10106916,2016-02-09 17:12:40+00:00,1
10066954,2016-02-09 17:13:58+00:00,0
10127136,2016-02-09 18:20:58+00:00,1
10087163,2016-02-09 18:20:58+00:00,0
10137295,2016-02-09 22:37:48+00:00,0
10127016,2016-02-09 22:37:48+00:00,0
10077050,2016-02-10 06:17:32+00:00,0
10117251,2016-02-10 06:18:49+00:00,0
10064847,2016-02-10 06:29:48+00:00,1
10097354,2016-02-10 08:19:15+00:00,1
10087603,2016-02-10 08:35:27+00:00,0
10177725,2016-02-10 08:44:31+00:00,0
10107735,2016-02-10 08:39:16+00:00,0
10234587,2016-02-10 08:39:16+00:00,0
10067669,2016-02-10 08:48:06+00:00,0
10097204,2016-02-10 09:06:09+00:00,0
10127802,2016-02-10 09:06:09+00:00,0
10067876,2016-02-10 09:08:29+00:00,0
10167775,2016-02-10 09:08:29+00:00,0
10147873,2016-02-10 09:18:13+00:00,0
10077796,2016-02-10 09:34:38+00:00,0
10167826,2016-02-10 10:18:13+00:00,0
10147827,2016-02-10 10:21:52+00:00,1
10137995,2016-02-10 10:47:49+00:00,1
10147912,2016-02-10 11:09:08+00:00,0
10137986,2016-02-10 11:09:08+00:00,0
10147930,2016-02-10 11:55:16+00:00,0
10078030,2016-02-10 12:54:39+00:00,0
10178005,2016-02-10 13:34:10+00:00,0
9209616,2016-02-10 13:59:39+00:00,0
9235939,2016-02-10 14:57:58+00:00,0
